"Area","Cod","Ind","Anno","Mese","Val"
"ITA","00000","1500",2009,7,2979726748.47
"ITA","00000","1600",2009,7,70837337.7
"ITA","00000","1700",2009,7,155514129.18
"ITA","00000","1800",2009,7,56750939.96
"ITA","00000","1900",2009,7,10274346294.59
"ITA","00000","1100",2009,8,15647918932.95
"ITA","00000","1200",2009,8,51586540073.71
"ITA","00000","1300",2009,8,52730621749.22
"ITA","00000","1400",2009,8,14503837257.44
"ITA","00000","1500",2009,8,2813767652.2
"ITA","00000","1600",2009,8,47936118.26
"ITA","00000","1700",2009,8,165002120.49
"ITA","00000","1800",2009,8,30596939.28
"ITA","00000","1900",2009,8,11039001599.24
"ITA","00000","1100",2009,9,15689370839.02
"ITA","00000","1200",2009,9,56316244997.21
"ITA","00000","1300",2009,9,58695707396.4
"ITA","00000","1400",2009,9,13309908439.83
"ITA","00000","1500",2009,9,2402615134.98
"ITA","00000","1600",2009,9,59779346.28
"ITA","00000","1700",2009,9,156595077.36
"ITA","00000","1800",2009,9,32879883.14
"ITA","00000","1900",2009,9,10205183415.97
"ITA","00000","1100",2009,10,15577157968.2
"ITA","00000","1200",2009,10,63857192836.8
"ITA","00000","1300",2009,10,64902171365.41
"ITA","00000","1400",2009,10,14532179439.59
"ITA","00000","1500",2009,10,2453476529.5
"ITA","00000","1600",2009,10,84403525.3
"ITA","00000","1700",2009,10,248267611.68
"ITA","00000","1800",2009,10,597128685.73
"ITA","00000","1900",2009,10,11981644294.74
"ITA","00000","1100",2009,11,15599938487.06
"ITA","00000","1200",2009,11,70411390279.97
"ITA","00000","1300",2009,11,71106687572.47
"ITA","00000","1400",2009,11,14904641194.56
"ITA","00000","1500",2009,11,2675917583.07
"ITA","00000","1600",2009,11,129009212.94
"ITA","00000","1700",2009,11,303703403.88
"ITA","00000","1800",2009,11,44966288.84
"ITA","00000","1900",2009,11,11571408518.31
"ITA","00000","1100",2009,12,15626249982.2
"ITA","00000","1200",2009,12,82936874607.16
"ITA","00000","1300",2009,12,83672075172.54
"ITA","00000","1400",2009,12,14891049416.82
"ITA","00000","1500",2009,12,3553218091.04
"ITA","00000","1600",2009,12,242866019.12
"ITA","00000","1700",2009,12,514926842.2
"ITA","00000","1800",2009,12,95358312.38
"ITA","00000","1900",2009,12,10802768766.52
"ITA","00000","1100",2010,1,14843494437.93
"ITA","00000","1200",2010,1,4562953801.7
"ITA","00000","1300",2010,1,5397272581.78
"ITA","00000","1400",2010,1,14009175657.85
"ITA","00000","1500",2010,1,3209100798.37
"ITA","00000","1600",2010,1,78291391.83
"ITA","00000","1700",2010,1,176632491.84
"ITA","00000","1800",2010,1,65824011.9
"ITA","00000","1900",2010,1,10062249482.06
"ITA","00000","1100",2010,2,14942357907.45
"ITA","00000","1200",2010,2,9049093202.85
"ITA","00000","1300",2010,2,11250594807.57
"ITA","00000","1400",2010,2,12740856302.73
"ITA","00000","1500",2010,2,2580101887.15
"ITA","00000","1600",2010,2,69183886.6
"ITA","00000","1700",2010,2,165360612.04
"ITA","00000","1800",2010,2,2300416545.78
"ITA","00000","1900",2010,2,11746800722.93
"ITA","00000","1100",2010,3,14951872657.64
"ITA","00000","1200",2010,3,16838784797.2
"ITA","00000","1300",2010,3,18483304429.9
"ITA","00000","1400",2010,3,13307353024.94
"ITA","00000","1500",2010,3,2200822333.23
"ITA","00000","1600",2010,3,23394638.61
"ITA","00000","1700",2010,3,81724723.88
"ITA","00000","1800",2010,3,129153024.03
"ITA","00000","1900",2010,3,10421892455.9
"ITA","00000","1100",2010,4,14955728291.36
"ITA","00000","1200",2010,4,22552138146.49
"ITA","00000","1300",2010,4,24450437807.46
"ITA","00000","1400",2010,4,13057428630.39
"ITA","00000","1500",2010,4,2082672251.06
"ITA","00000","1600",2010,4,13818425.92
"ITA","00000","1700",2010,4,59697682.41
"ITA","00000","1800",2010,4,13337694.7
"ITA","00000","1900",2010,4,10147492568.26
"ITA","00000","1100",2010,5,14917750685.24
"ITA","00000","1200",2010,5,30080915725.34
"ITA","00000","1300",2010,5,30728386476.91
"ITA","00000","1400",2010,5,14270279933.67
"ITA","00000","1500",2010,5,2168013627.06
"ITA","00000","1600",2010,5,18836395.79
"ITA","00000","1700",2010,5,93073652.92
"ITA","00000","1800",2010,5,42373692.54
"ITA","00000","1900",2010,5,11306767997.75
"ITA","00000","1100",2010,6,14932700398.04
"ITA","00000","1200",2010,6,39985742866.8
"ITA","00000","1300",2010,6,39595372304.71
"ITA","00000","1400",2010,6,15323070960.13
"ITA","00000","1500",2010,6,3069260531.41
"ITA","00000","1600",2010,6,90907928.8
"ITA","00000","1700",2010,6,395377196.21
"ITA","00000","1800",2010,6,18258279.06
"ITA","00000","1900",2010,6,11677998668.62
"ITA","00000","1100",2010,7,14906034758.54
"ITA","00000","1200",2010,7,46095587360.61
"ITA","00000","1300",2010,7,46474898331.06
"ITA","00000","1400",2010,7,14526723788.09
"ITA","00000","1500",2010,7,2913441604.82
"ITA","00000","1600",2010,7,19862894.88
"ITA","00000","1700",2010,7,46886425.44
"ITA","00000","1800",2010,7,23943639.85
"ITA","00000","1900",2010,7,10768578906.64
"ITA","00000","1100",2010,8,14919525875.69
"ITA","00000","1200",2010,8,50270054028.09
"ITA","00000","1300",2010,8,51751439182.43
"ITA","00000","1400",2010,8,13438140721.35
"ITA","00000","1500",2010,8,2639023541.86
"ITA","00000","1600",2010,8,16116313.03
"ITA","00000","1700",2010,8,28668837.29
"ITA","00000","1800",2010,8,12152563.66
"ITA","00000","1900",2010,8,9973495564.29
"ITA","00000","1100",2010,9,14961523946.39
"ITA","00000","1200",2010,9,54640877162.01
"ITA","00000","1300",2010,9,56881850061.32
"ITA","00000","1400",2010,9,12720551047.08
"ITA","00000","1500",2010,9,2488174064.74
"ITA","00000","1600",2010,9,19523577.87
"ITA","00000","1700",2010,9,46820304.87
"ITA","00000","1800",2010,9,7933341.5
"ITA","00000","1900",2010,9,9385517024.35
"ITA","00000","1100",2010,10,14946885780.37
"ITA","00000","1200",2010,10,62357452108.6
"ITA","00000","1300",2010,10,62802045920.88
"ITA","00000","1400",2010,10,14502291968.09
"ITA","00000","1500",2010,10,2527272084.48
"ITA","00000","1600",2010,10,19374890.37
"ITA","00000","1700",2010,10,65077962.66
"ITA","00000","1800",2010,10,68358681.31
"ITA","00000","1900",2010,10,11246493156.17
"ITA","00000","1100",2010,11,14956433658.78
"ITA","00000","1200",2010,11,67928131628.08
"ITA","00000","1300",2010,11,68324646492.17
"ITA","00000","1400",2010,11,14559918794.69
"ITA","00000","1500",2010,11,2608072942.28
"ITA","00000","1600",2010,11,35971745.24
"ITA","00000","1700",2010,11,73956624.24
"ITA","00000","1800",2010,11,126014784.01
"ITA","00000","1900",2010,11,11182933983.12
"ITA","00000","1100",2010,12,14947438609.56
"ITA","00000","1200",2010,12,81947009704.9
"ITA","00000","1300",2010,12,81058903732.61
"ITA","00000","1400",2010,12,15835544581.85
"ITA","00000","1500",2010,12,3542194777.49
"ITA","00000","1600",2010,12,217449193.66
"ITA","00000","1700",2010,12,424646282.82
"ITA","00000","1800",2010,12,19777689.92
"ITA","00000","1900",2010,12,11732070210.68
"ITA","00000","1100",2011,1,15568297489.28
"ITA","00000","1200",2011,1,4381150195.44
"ITA","00000","1300",2011,1,5306761568.24
"ITA","00000","1400",2011,1,14642686116.48
"ITA","00000","1500",2011,1,3235725064.8
"ITA","00000","1600",2011,1,24118585.84
"ITA","00000","1700",2011,1,91694556.04
"ITA","00000","1800",2011,1,38484792.13
"ITA","00000","1900",2011,1,10609057020.15
"ITA","00000","1100",2011,2,15622579108.95
"ITA","00000","1200",2011,2,8496086162.65
"ITA","00000","1300",2011,2,11410952705.02
"ITA","00000","1400",2011,2,12707712566.58
"ITA","00000","1500",2011,2,2285217763.3
"ITA","00000","1600",2011,2,33775443.54
"ITA","00000","1700",2011,2,76349517.46
"ITA","00000","1800",2011,2,13671525.88
"ITA","00000","1900",2011,2,9647790651.4
"ITA","00000","1100",2011,3,15589460210.6
"ITA","00000","1200",2011,3,16689571782.66
"ITA","00000","1300",2011,3,18053667596.45
"ITA","00000","1400",2011,3,14225364396.81
"ITA","00000","1500",2011,3,2397573707
"ITA","00000","1600",2011,3,20241094.85
"ITA","00000","1700",2011,3,107428493.25
"ITA","00000","1800",2011,3,17776304.04
"ITA","00000","1900",2011,3,11010290147.45
"ITA","00000","1100",2011,4,15576639519.96
"ITA","00000","1200",2011,4,20931223825.05
"ITA","00000","1300",2011,4,23640768905.49
"ITA","00000","1400",2011,4,12867094439.52
"ITA","00000","1500",2011,4,2161393574
"ITA","00000","1600",2011,4,14034574.94
"ITA","00000","1700",2011,4,65392151.94
"ITA","00000","1800",2011,4,12428301.13
"ITA","00000","1900",2011,4,9830479535.83
"ITA","00000","1100",2011,5,15542934007.09
"ITA","00000","1200",2011,5,26459402316.52
"ITA","00000","1300",2011,5,29536548792.34
"ITA","00000","1400",2011,5,12465787531.27
"ITA","00000","1500",2011,5,2165278745.49
"ITA","00000","1600",2011,5,18657749.26
"ITA","00000","1700",2011,5,64223682.5
"ITA","00000","1800",2011,5,11017826.8
"ITA","00000","1900",2011,5,9464777892.22
"ITA","00000","1100",2011,6,15519735029.65
"ITA","00000","1200",2011,6,34979346323.84
"ITA","00000","1300",2011,6,38024766088.68
"ITA","00000","1400",2011,6,12474315264.81
"ITA","00000","1500",2011,6,3071369972.61
"ITA","00000","1600",2011,6,74079729.39
"ITA","00000","1700",2011,6,288293180.26
"ITA","00000","1800",2011,6,13888252.69
"ITA","00000","1900",2011,6,8815099846.34
"ITA","00000","1100",2011,7,15541170341.75
"ITA","00000","1200",2011,7,40638119083.2
"ITA","00000","1300",2011,7,44111753277.32
